Property_Name,Unit_Number,Damages
Concord,5151,280.3
Concord,5152,105.82
Concord,5153,309.65
Concord,5154,269.21
Concord,5155,71.57
Concord,5156,326.87
Concord,5157,389.15
Concord,5158,121.45
Concord,5159,375.3
Concord,5160,426.85
Concord,5161,0.18
Concord,5162,149.99
Concord,5163,122.37
Concord,5164,84.78
Concord,5165,191.28
Concord,5166,277.44
Concord,5167,232.17
Concord,5168,209.89
Concord,5169,258.95
Concord,5170,564.89
Concord,5171,160.55
Concord,5172,120.97
Concord,5173,190.14
Concord,5174,490.97
Concord,5175,207.5
Concord,5176,87.94
Concord,5177,315.79
Concord,5178,291.71
Concord,5179,0.0
Concord,5180,145.11
Concord,5181,844.47
Concord,5182,466.54
Concord,5183,215.9
Concord,5184,229.35
Concord,5185,534.8
Concord,5186,354.67
Concord,5187,363.7
Concord,5188,662.63
Concord,5189,253.11
Concord,5190,208.19
Concord,5191,275.02
Concord,5192,179.25
Concord,5193,660.46
Concord,5194,171.17000000000002
Concord,5195,318.46999999999997
Concord,5196,234.95000000000002
Concord,5197,183.78
Concord,5198,684.73
Concord,5199,287.1
Concord,5200,293.02
Concord,5201,149.49
Concord,5202,846.15
Concord,5203,274.36
Concord,5204,586.75
Concord,5205,338.31
Concord,5206,551.35
Concord,5207,82.31
Concord,5208,41.2
Concord,5209,553.3
Concord,5210,358.99
Concord,5211,476.94
Concord,5212,240.04
Concord,5213,266.08
Concord,5214,474.01
Concord,5215,605.44
Concord,5216,281.69
Concord,5217,388.06
Concord,5218,507.41
Concord,5219,624.15
Concord,5220,261.5
Concord,5221,77.29
Concord,5222,531.29
Concord,5223,449.21000000000004
Concord,5224,49.34
Concord,5225,774.89
Concord,5226,392.37
Concord,5227,53.07
Concord,5228,204.88
Concord,5229,57.13
Concord,5230,117.73
Concord,5231,157.6
Concord,5232,213.28
Concord,5233,689.96
Concord,5234,701.56
Concord,5235,311.61
Concord,5236,665.9399999999999
Concord,5237,449.07
Concord,5238,653.0699999999999
Concord,5239,263.28000000000003
Concord,5240,708.74
Concord,5241,261.38
Concord,5242,694.7
Concord,5243,254.7
Concord,5244,584.15
Concord,5245,5.42
Concord,5246,370.03
Concord,5247,107.45
Concord,5248,371.16
Concord,5249,215.73
Concord,5250,462.57
Concord,5251,680.57
Concord,5252,542.61
Concord,5253,597.51
Concord,5254,237.4
Concord,5255,491.62
Concord,5256,334.42
Concord,5257,293.31
Concord,5258,680.6
Concord,5259,482.03
Concord,5260,226.68
Concord,5261,671.23
Concord,5262,212.02
Concord,5263,250.98
Concord,5264,290.95
Concord,5265,386.89
Concord,5266,484.48
Concord,5267,445.79
Concord,5268,353.23
Concord,5269,372.2
Concord,5270,353.84
Concord,5271,623.93
Concord,5272,332.8
Concord,5273,708.87
Concord,5274,264.81
Concord,5275,99.57
Concord,5276,340.44
Concord,5277,137.34
Concord,5278,314.32
Concord,5279,261.13
Concord,5280,142.86
Concord,5281,200.94
Concord,5282,310.6
Concord,5283,330.12
Concord,5284,114.48
Concord,5285,160.6
Concord,5286,266.49
Concord,5287,265.53
Concord,5288,226.04
Concord,5289,254.1
Concord,5290,239.79
Concord,5291,98.96000000000001
Concord,5292,75.2
Concord,5293,553.86
Concord,5294,292.9
Concord,5295,458.9
Concord,5296,146.11
Concord,5297,19.34
Concord,5298,777.61
Concord,5299,358.42
Concord,5300,505.85
Concord,5301,403.31
Concord,5302,402.29
Concord,5303,739.75
Concord,5304,399.6
Concord,5305,65.76
Concord,5306,224.48000000000002
Concord,5307,88.37
Concord,5308,403.28000000000003
Concord,5309,259.71
Concord,5310,293.13
Concord,5311,506.82
Concord,5312,371.59
Concord,5313,484.02
Concord,5314,353.94
Concord,5315,446.19
Concord,5316,407.11
Concord,5317,670.27
Concord,5318,309.2
Concord,5319,128.06
Concord,5320,224.72
Concord,5321,517.86
Concord,5322,305.31
Concord,5323,606.14
Concord,5324,175.27
Concord,5325,764.28
Concord,5326,109.00999999999999
Concord,5327,375.86
Concord,5328,266.37
Concord,5329,237.29
Concord,5330,127.11
Concord,5331,410.92
Concord,5332,555.35
Concord,5333,431.24
Concord,5334,425.0
Concord,5335,402.55
Concord,5336,306.1
Concord,5337,119.01
Concord,5338,483.01
Concord,5339,252.52
Concord,5340,492.90999999999997
Concord,5341,411.81
Concord,5342,293.5
Concord,5343,739.49
Concord,5344,591.29
Concord,5345,360.88
Concord,5346,317.37
Concord,5347,49.33
Concord,5348,460.25
Concord,5349,84.48
Concord,5350,343.42
Concord,5351,208.14
Concord,5352,436.57
Concord,5353,60.36
Concord,5354,135.84
Concord,5355,199.16
Concord,5356,357.51
Concord,5357,89.53999999999999
Concord,5358,469.18
Concord,5359,318.52
Concord,5360,157.7
Concord,5361,543.48
Concord,5362,372.07
Concord,5363,393.53
Concord,5364,216.75
Concord,5365,397.47
Concord,5366,481.19
Concord,5367,382.48
Concord,5368,569.96
Concord,5369,356.2
Concord,5370,212.92
Concord,5371,119.13
Concord,5372,115.32
Concord,5373,82.97
Concord,5374,253.13
Concord,5375,293.17
Concord,5376,247.54
Concord,5377,150.21
Concord,5378,184.71
Concord,5379,322.49
Concord,5380,152.79
Concord,5381,567.18
Concord,5382,601.01
Concord,5383,331.52
Concord,5384,511.84
Concord,5385,366.53
Concord,5386,725.45
Concord,5387,284.39
Concord,5388,31.62
Concord,5389,984.7
Concord,5390,203.14
Concord,5391,253.31
Concord,5392,909.67
Concord,5393,404.55
Concord,5394,311.22
Concord,5395,386.77
Concord,5396,283.86
Concord,5397,352.29
Concord,5398,155.46
Concord,5399,672.92
Concord,5400,788.21
Concord,5401,762.11
Concord,5402,379.19
Concord,5403,343.56
Concord,5404,647.21
Concord,5405,497.68
Concord,21408,113.81
Concord,21409,1098.33
Concord,21410,366.13
Concord,21411,760.89
Concord,21412,22.88
Concord,21413,0.0
Concord,21414,583.84
Concord,21415,704.12
Concord,21416,316.81
Concord,21417,915.6
Concord,21418,636.59
Concord,21419,198.82
Concord,21420,257.7
Concord,21421,846.49
Concord,21422,857.6600000000001
Concord,21423,557.0
Concord,21424,507.12
Concord,21425,483.68
Concord,21426,94.73
Concord,21427,912.23
Concord,21428,508.18
Concord,21429,715.01
Concord,21430,521.0
Concord,21431,360.78
Concord,21432,542.11
Concord,21433,412.84000000000003
Concord,21434,309.15
Concord,21435,539.45
Concord,21436,328.04
Concord,21437,706.66
Concord,21438,429.39
Concord,21439,374.90999999999997
Concord,21440,465.03000000000003
Concord,21441,827.5
Concord,21442,377.12
Concord,21443,297.52
Concord,21445,570.71
Concord,21446,563.8
Concord,21447,831.86
Concord,21448,448.45
Concord,21449,487.59
Concord,21450,1081.21
Concord,21451,185.04
Concord,21452,383.01
Concord,21453,696.85
Concord,21454,388.99
Concord,21455,698.32
Concord,21456,386.07
Concord,21457,482.45
Concord,21458,654.4
Concord,21459,395.04
Concord,21460,995.4
Concord,21461,560.5699999999999
Concord,21462,567.85
Concord,21463,365.09999999999997
Concord,21464,434.3
Concord,21465,410.65
Concord,21466,435.71999999999997
Concord,21467,236.39
Concord,21468,435.15
Concord,21469,364.51
Concord,21470,713.71
Concord,21471,633.59
Fairfax,6902,206.24
Fairfax,6903,1120.97
Fairfax,6904,190.99
Fairfax,6905,435.67
Fairfax,6906,330.49
Fairfax,6907,37.71
Fairfax,6908,554.36
Fairfax,6909,217.34
Fairfax,6910,98.8
Fairfax,6911,164.68
Fairfax,6912,278.56
Fairfax,6913,301.92
Fairfax,6914,68.03
Fairfax,6915,329.48
Fairfax,6916,318.63
Fairfax,6917,327.42
Fairfax,6918,393.1
Fairfax,6919,573.94
Fairfax,6920,299.93
Fairfax,6921,698.37
Fairfax,6922,149.34
Fairfax,6923,393.14
Fairfax,6924,225.35
Fairfax,6925,225.86
Fairfax,6926,345.07
Fairfax,6927,167.04
Fairfax,6928,240.38
Fairfax,6929,98.17
Fairfax,6930,380.8
Fairfax,6931,384.4
Fairfax,6932,525.69
Fairfax,6933,154.81
Fairfax,6934,163.52
Fairfax,6935,320.36
Fairfax,6936,156.44
Fairfax,6937,398.6
Fairfax,6938,365.38
Fairfax,6939,523.49
Fairfax,6940,681.98
Fairfax,6941,192.11
Fairfax,6942,256.61
Fairfax,6943,311.87
Fairfax,6944,231.94
Fairfax,6945,235.19
Fairfax,6946,366.15999999999997
Fairfax,6947,250.16
Fairfax,6948,162.18
Fairfax,6949,778.7
Fairfax,6950,631.59
Fairfax,6951,355.19
Fairfax,6952,626.88
Fairfax,6953,467.58
Fairfax,6954,66.79
Fairfax,6955,420.61
Fairfax,6956,206.76
Fairfax,6957,223.99
Fairfax,6958,373.23
Fairfax,6959,618.67
Fairfax,6960,345.05
Fairfax,6961,175.73
Fairfax,6962,563.82
Fairfax,6963,335.35
Fairfax,6964,481.56
Fairfax,6965,289.56
Fairfax,6966,632.03
Fairfax,6967,217.46
Fairfax,6968,285.46
Fairfax,6969,538.11
Fairfax,6970,350.78
Fairfax,6971,310.31
Fairfax,6972,403.78
Fairfax,6973,530.2
Fairfax,6974,264.65
Fairfax,6975,315.03
Fairfax,6976,347.53
Fairfax,6977,190.54
Fairfax,6978,377.28000000000003
Fairfax,6979,197.32
Fairfax,6980,149.25
Fairfax,6981,214.28
Fairfax,6982,657.38
Fairfax,6983,209.57
Fairfax,6984,195.03
Fairfax,6985,572.74
Fairfax,6986,222.10999999999999
Fairfax,6987,265.13
Fairfax,6988,465.14
Fairfax,6989,430.04
Fairfax,6990,199.15
Fairfax,6991,300.13
Fairfax,6992,179.16
Fairfax,6993,356.59
Fairfax,6994,308.17
Fairfax,6995,481.89
Fairfax,6996,366.89
Fairfax,6997,347.43
Fairfax,6998,317.15
Fairfax,6999,187.37
Fairfax,7000,409.44
Fairfax,7001,274.43
Fairfax,7002,129.49
Fairfax,7003,420.13
Fairfax,7004,434.31
Fairfax,7005,619.08
Fairfax,7006,288.51
Fairfax,7007,476.81
Fairfax,7008,220.57999999999998
Fairfax,7009,655.37
Fairfax,7010,399.61
Fairfax,7011,306.88
Fairfax,7012,191.75
Fairfax,7013,214.06
Fairfax,7014,311.18
Fairfax,7015,144.91
Fairfax,7016,86.14
Fairfax,7017,239.57
Fairfax,7018,77.78
Fairfax,7019,259.24
Fairfax,7020,283.1
Fairfax,7021,23.23
Fairfax,7022,290.48
Fairfax,7023,0.0
Fairfax,7024,291.08
Fairfax,7025,261.82
Fairfax,7026,138.99
Fairfax,7027,183.59
Fairfax,7028,188.32999999999998
Fairfax,7029,447.61
